x1,v1,x2,v2
28.204659,36.947637,28.204659,28.912142
28.303541,29.303251,28.303541,21.265069
28.405762,39.495766,28.405762,17.441533
28.505938,35.673573,28.505938,21.265069
28.606686,20.384801,28.606686,14.892509
28.70588,21.658865,28.70588,7.245436
28.805247,34.399509,28.805247,13.617997
28.905307,25.481058,28.905307,12.343485
29.00631,21.658865,29.00631,13.617997
29.106557,26.755123,29.106557,7.245436
29.205691,15.288543,29.205691,7.245436
29.306147,12.740415,29.306147,-2.950661
29.407202,-11.466808,29.407202,-23.342854
29.507743,-26.755581,29.507743,-66.676265
29.607942,-50.962803,29.607942,-92.166507
29.708019,-59.881254,29.708019,-116.382237
29.807866,-53.510932,29.807866,-115.107725
29.908606,-64.977511,29.908606,-122.754797
30.008307,-72.621897,30.008307,-126.578333
30.108175,-52.236868,30.108175,-113.833213
30.209862,-39.496224,30.209862,-89.617483
30.309571,-30.577774,30.309571,-59.029193
30.410148,-20.385259,30.410148,-36.087975
30.510533,7.644157,30.510533,-10.597733
30.610504,2.5479,30.610504,-8.048709
30.711567,10.192286,30.711567,-4.225173
30.81276,16.562608,30.81276,-1.676148
30.912187,21.658865,30.912187,3.4219
31.012976,22.932929,31.012976,9.79446
31.113776,38.221702,31.113776,19.990557
31.214511,48.414217,31.214511,18.716045
31.314339,38.221702,31.314339,17.441533
31.414638,31.85138,31.414638,16.167021
