sample_no,temperature,average temperature,humidity,average humidity,breath state
184,27.37,27.9859,57.83399095304607,71.64910147000934,1
185,27.36,27.9825,57.471481552337465,71.5584775180236,1
186,27.36,27.978700000000003,57.12016162233815,71.46008802050054,1
187,27.36,27.974700000000002,56.768914088253844,71.35404337796237,1
188,27.35,27.970500000000005,56.43435999996242,71.24057503556674,1
189,27.33,27.965999999999998,56.09411578778724,71.11979353624125,1
190,27.33,27.961,55.76553483477685,70.99169537151518,1
191,27.33,27.955899999999996,55.44225040727296,70.85651670422403,1
192,27.32,27.950499999999998,55.13044408037823,70.7146446522482,1
193,27.31,27.944699999999997,54.82411767531333,70.56596305598588,1
194,27.31,27.938699999999994,54.53526443938241,70.4106480463195,1
195,27.3,27.932399999999994,54.23441625653072,70.24892580960466,1
196,27.29,27.925799999999995,53.93937857100459,70.08078932999543,1
197,27.29,27.918899999999994,53.65596926887834,69.90635651392601,1
198,27.28,27.9116,53.406400191378616,69.72596264738857,1
199,27.28,27.904,53.151222435372254,69.5398401916201,1
200,27.28,27.896200000000004,52.90163162361048,69.34821362348481,1
201,27.28,27.888200000000012,52.64089367154444,69.15119524439876,1
202,27.27,27.880100000000013,52.51020283656431,68.94868269027775,1
203,27.27,27.871700000000015,52.46491120202271,68.74213670923592,1
204,27.27,27.863000000000014,52.51587291769593,68.53246212728594,1
205,27.27,27.854100000000017,52.561233225357775,68.32074549081052,1
206,27.27,27.845000000000017,52.66903202916398,68.10686680936196,1
207,27.27,27.835700000000017,52.77668639853347,67.89173645699253,1
208,27.27,27.826200000000018,52.89567496578577,67.67530017128688,1
209,27.27,27.816600000000015,53.05448738232325,67.45778627797662,1
210,27.27,27.80690000000002,53.25849772676275,67.23942549091478,1
211,27.27,27.797000000000022,53.491136049467805,67.02094637944596,1
212,27.27,27.787000000000017,53.75187743620086,66.8025826769832,1
213,27.28,27.776900000000015,54.063836125273916,66.58489749529245,1
214,27.28,27.766800000000018,54.403803641991985,66.36812493410429,1
215,27.29,27.756500000000013,54.76671574166532,66.1529340725381,1
216,27.29,27.746200000000016,55.14652098712767,65.93933275460812,1
217,27.3,27.735700000000016,55.56028435748699,65.72770358374446,1
218,27.3,27.72520000000002,55.99674755949747,65.51833958190099,1
219,27.31,27.71460000000002,56.41609212878319,65.31146994139826,1
220,27.31,27.70390000000002,56.87494375218596,65.107147018025,1
221,27.33,27.69310000000002,57.35111319435772,64.9056552255871,1
222,27.33,27.682400000000012,57.83826024929663,64.70733688261514,1
223,27.35,27.671600000000012,58.32020544251033,64.51230400224543,1
224,27.36,27.660900000000012,58.818674012277164,64.32044384071588,1
225,27.37,27.65020000000001,59.31742542301082,64.13209523436541,1
226,27.38,27.63950000000001,59.82721761252841,63.947258768919184,1
227,27.41,27.62890000000001,60.33763626887978,63.766216220649184,1
228,27.42,27.618500000000004,60.84745300266497,63.58886118450566,1
229,27.43,27.608100000000004,61.32304819347435,63.41518961280875,1
230,27.44,27.5977,61.838666409778625,63.244963802489835,1
231,27.47,27.587400000000002,62.33752713100997,63.07882225806771,1
232,27.49,27.577399999999997,62.82505289641389,62.916426056820065,1
233,27.5,27.5675,63.30639186248342,62.758111036781386,1
234,27.52,27.557699999999997,63.771246522767335,62.60432304790558,1
235,27.54,27.548,64.2301593338441,62.45540496918901,1
236,27.56,27.538699999999995,64.7058674248624,62.311540194607616,0
237,27.58,27.529599999999995,65.15949055546258,62.172890067273386,0
238,27.6,27.520999999999994,65.60165545817269,62.03969785025313,0
239,27.62,27.51279999999999,66.05481972009416,61.91213095195876,0
240,27.64,27.505099999999988,66.47434552196263,61.7905877090569,0
241,27.67,27.497899999999987,66.89981180398897,61.67562994109087,0
242,27.69,27.491399999999985,67.30221697015374,61.567674115661845,0
243,27.71,27.48539999999998,67.70460969728862,61.467151654997494,0
