21,-2,-2
45,-2,-2
466,-2,-2
481,-2,-2
498,-2,-2
515,-2,-2
532,-2,-2
549,-1.965728,-2.000464
568,-1.864048,-2.002213
583,-1.764101,-2.005466
599,-1.663914,-2.010307
616,-1.562499,-2.016927
633,-1.460559,-2.025404
650,-1.360273,-2.035598
667,-1.259305,-2.047786
684,-1.160261,-2.061658
701,-1.059968,-2.07767
718,-0.9597827,-2.095642
734,-0.8609428,-2.115297
751,-0.7632317,-2.136588
768,-0.66592,-2.159623
784,-0.5690253,-2.184363
802,-0.468704,-2.211862
819,-0.3703399,-2.240676
835,-0.274873,-2.270445
852,-0.1792144,-2.302103
869,-0.08316918,-2.335812
886,0.01788029,-2.340539
903,0.1077947,-2.31048
920,0.1686215,-2.237468
936,0.2090032,-2.145984
953,0.2517041,-2.053459
970,0.2943713,-1.961699
987,0.3359456,-1.870016
1004,0.3766023,-1.775552
1021,0.4140864,-1.680903
1038,0.4480301,-1.58684
1054,0.4788578,-1.49171
1071,0.5063927,-1.395384
1088,0.5306627,-1.296576
1105,0.5503741,-1.197931
1122,0.5656726,-1.099108
1138,0.5766463,-0.9997092
1155,0.583527,-0.8976271
1172,0.5862939,-0.7960919
1189,0.5863567,-0.6960942
1206,0.5852209,-0.5961004
1223,0.5838353,-0.4907051
1240,0.582521,-0.3907327
1257,0.6012549,-0.2906925
1273,0.6221674,-0.1929108
1291,0.645391,-0.09319975
1307,0.6693102,0.00389643
1324,0.6941665,0.1007588
1341,0.719917,0.197388
1357,0.7459175,0.2945876
1374,0.7678746,0.3939664
1391,0.7706124,0.4939411
1407,0.7742843,0.5938643
1424,0.7787907,0.6937665
1441,0.7839741,0.7936323
1458,0.7897054,0.8934699
1474,0.7958971,0.99328
1491,0.8026212,1.095037
1508,0.8096967,1.196468
1525,0.8169971,1.296196
1542,0.8246418,1.395929
1559,0.8329957,1.497437
1575,0.8480947,1.596289
1592,0.8687167,1.697165
1609,0.8927643,1.795963
1626,0.9192168,1.892393
1643,0.9481257,1.988147
1659,0.9791907,2.083175
1677,1.014061,2.182323
1694,1.050129,2.278273
1711,1.087052,2.371321
1727,1.126289,2.464528
1744,1.167406,2.557937
1761,1.20976,2.650226
1778,1.253643,2.742125
1795,1.298012,2.831746
1812,1.345012,2.923685
1829,1.392295,3.013689
1846,1.43964,3.101771
1862,1.487718,3.189453
1879,1.536968,3.277659
1898,1.592081,3.374709
1915,1.642069,3.461323
1931,1.692637,3.547591
1948,1.745106,3.635731
1965,1.796837,3.721311
1982,1.849145,3.80654
1998,1.902519,3.892203
2015,1.956902,3.978185
2032,2.012214,4.064342
2049,2.067076,4.147948
2066,2.124993,4.234133
2083,2.181781,4.316454
2100,2.239583,4.398775
2117,2.298012,4.479925
2133,2.357665,4.561266
2150,2.418567,4.642811
2167,2.480341,4.724011
2184,2.542263,4.803923
2201,2.605904,4.884565
2218,2.669717,4.963947
2235,2.734149,5.042638
2252,2.799309,5.120772
2269,2.865161,5.198309
2286,2.930579,5.273943
2303,2.996677,5.348989
2320,3.065214,5.425427
2336,3.1326,5.499345
2353,3.201391,5.573658
2370,3.269826,5.646574
2386,3.338704,5.719072
2403,3.408445,5.79173
2420,3.479175,5.864779
2437,3.550154,5.937563
2454,3.620956,6.009743
2471,3.691956,6.081798
2488,3.764156,6.155072
2505,3.83433,6.226289
2522,3.905447,6.298463
2538,3.976146,6.370214
2555,4.047633,6.442764
2572,4.119405,6.515603
2589,4.190789,6.588049
2606,4.262187,6.660508
2623,4.333542,6.732924
2640,4.40373,6.804156
2657,4.473918,6.875388
2674,4.545506,6.94804
2691,4.616851,7.020446
2707,4.687088,7.091728
2724,4.757267,7.16295
2741,4.827453,7.23418
2757,4.896701,7.306825
2774,4.962411,7.382204
2791,5.022163,7.462394
2807,5.076806,7.546145
2824,5.13145,7.629898
2841,5.186091,7.713647
2857,5.240736,7.797402
2874,5.295378,7.881153
2891,5.350022,7.964907
2907,5.404675,8.048674
2924,5.459538,8.132764
2941,5.515609,8.218703
2958,5.570498,8.302834
2975,5.625142,8.386585
2992,5.681312,8.472677
3008,5.735959,8.556436
3028,5.790597,8.640182
3042,5.845252,8.723951
3059,5.901535,8.810216
3076,5.956917,8.895102
3092,6.011719,8.979096
3109,6.066909,9.064091
3126,6.121091,9.148158
3143,6.174914,9.232455
3159,6.228304,9.316983
3176,6.281279,9.40184
3193,6.33375,9.486932
3209,6.386035,9.572804
3226,6.438409,9.659948
3243,6.490652,9.748015
3260,6.541174,9.834326
3277,6.59259,9.923349
3294,6.642095,10.01023
3311,6.691102,10.09741
3327,6.73961,10.18485
3344,6.787734,10.27253
3361,6.8373,10.36359
3378,6.884867,10.45156
3394,6.932228,10.53963
3411,6.980232,10.62933
3428,7.027813,10.71863
3445,7.07574,10.80858
3462,7.12358,10.89836
3479,7.170595,10.9866
3496,7.217619,11.07486
3512,7.264645,11.16311
3529,7.311912,11.25182
3546,7.358938,11.34008
3562,7.405962,11.42833
3579,7.45322,11.51703
3596,7.501047,11.60679
3613,7.54807,11.69504
3629,7.595094,11.78329
3646,7.642294,11.87188
3663,7.689798,11.96185
3680,7.737558,12.05355
3697,7.783882,12.14423
3714,7.829318,12.23518
3731,7.873335,12.32615
3748,7.914749,12.41718
